3600,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;1;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;C;Train;Worker;Down;5;S;S_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;15
7200,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Idle;S;For_S;S;S_S;S;For_S;S;C;Harvest;1;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Build;Barracks;Up;10;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;C;Train;Ranged;EnemyDir;7;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;15;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;2;S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;C;Attack;Closest
10800,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Harvest;1;S;S_S;S;For_S;S;S_S;S;C;Build;Barracks;Up;10;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;2;S;C;Train;Light;Right;100
14400,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
18000,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
21600,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
25200,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
28800,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
32400,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
36000,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
39600,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
43200,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
46800,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;1;S;C;Train;Worker;Up;2;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Train;Heavy;Left;10;S;S_S;S;C;Train;Ranged;EnemyDir;1;S;C;Attack;LessHealthy;S;For_S;S;C;Build;Barracks;Up;8;S;C;Train;Light;Right;100
