3600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;C;MoveToUnit;Ally;Random;S;Empty;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;3;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;1;S;C;MoveToUnit;Ally;Random;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;1;S;C;MoveToUnit;Ally;Random;S;C;Build;Base;Up;1;S;Empty;S;C;Build;Base;Up;1;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;3;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;1;S;C;MoveToUnit;Ally;Random;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;1;S;C;MoveToUnit;Ally;Random;S;C;Build;Base;Up;1;S;Empty;S;If_B_then_S_else_S;B;is_Type;Base;S;S_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;3;2;S;C;Train;Worker;Down;1;S;C;Train;Worker;Down;2;S;Empty;S;C;Train;Worker;Down;2;S;If_B_then_S_else_S;B;is_Type;Base;S;S_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;3;2;S;C;Train;Worker;Down;1;S;C;Train;Worker;Down;2;S;Empty;S;If_B_then_S_else_S;B;is_Type;Barracks;S;S_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;3;4;S;C;Train;Ranged;Down;1;S;C;Train;Ranged;Down;2;S;Empty;S;C;Train;Ranged;Down;2;S;If_B_then_S_else_S;B;is_Type;Barracks;S;S_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;3;4;S;C;Train;Ranged;Down;1;S;C;Train;Ranged;Down;2;S;Empty;S;If_B_then_S_else_S;B;is_Type;Ranged;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;is_Type;Ranged;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;If_B_then_S_else_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;If_B_then_S_else_S;B;is_Type;Light;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;is_Type;Light;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest
7200,S;For_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Ally;Strongest;S;S_S;S;For_S;S;C;Idle;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Left;25
10800,S;For_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Ally;Strongest;S;S_S;S;For_S;S;C;Idle;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Left;25
14400,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;5;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Harvest;5;S;C;Train;Worker;EnemyDir;15;S;S_S;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Attack;MostHealthy;S;If_B_then_S;B;HaveQtdUnitsAttacking;9;S;C;MoveToUnit;Ally;Weakest
18000,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Down;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Heavy;EnemyDir;5;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;LessHealthy;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Ally;Weakest
21600,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Down;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Heavy;EnemyDir;5;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;LessHealthy;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Ally;Weakest
25200,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
28800,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
32400,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
36000,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
39600,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
43200,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
46800,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
50400,S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;2;S;For_S;S;C;Build;Barracks;Right;1;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Harvest;10;S;For_S;S;C;Train;Light;EnemyDir;3;S;C;MoveAway;S;C;Train;Worker;EnemyDir;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;IsBuilder;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;Weakest
