3600,S;Empty
7200,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;C;Harvest;9;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;S_S;S;For_S;S;C;Train;Light;Left;2;S;C;Attack;Weakest
10800,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;C;Harvest;9;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;S_S;S;For_S;S;C;Train;Light;Left;2;S;C;Attack;Weakest
14400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;C;Harvest;9;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;S_S;S;For_S;S;C;Train;Light;Left;2;S;C;Attack;Weakest
18000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;C;Harvest;9;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;S_S;S;For_S;S;C;Train;Light;Left;2;S;C;Attack;Weakest
21600,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
25200,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
28800,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
32400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
36000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
39600,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
43200,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
46800,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
50400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
54000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;For_S;S;S_S;S;C;Build;Barracks;Left;9;S;S_S;S;C;Harvest;9;S;C;Train;Heavy;Right;7;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;25;S;C;Attack;Weakest
