3600,S;For_S;S;S_S;S;C;Attack;Weakest;S;S_S;S;For_S;S;For_S;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8
7200,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;LessHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;S_S;S;C;Attack;Farthest;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Enemy;MostHealthy
10800,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;LessHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;S_S;S;C;Attack;Farthest;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Enemy;MostHealthy
14400,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
18000,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
21600,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
25200,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
28800,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
32400,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
36000,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
39600,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
43200,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
46800,S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;8;S;S_S;S;C;Attack;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;C;Harvest;8;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;MostHealthy;S;S_S;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;S_S;S;C;Train;Worker;Down;20;S;C;MoveToUnit;Ally;Weakest
