3600,S;S_S;S;For_S;S;For_S;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Up;25
7200,S;S_S;S;For_S;S;S_S;S;For_S;S;C;Harvest;6;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;Right;5;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveToUnit;Ally;Weakest
10800,S;S_S;S;For_S;S;S_S;S;For_S;S;C;Harvest;6;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;Right;5;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveToUnit;Ally;Weakest
14400,S;For_S;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;S_S;S;C;Build;Barracks;Left;6;S;C;Idle;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Heavy;Right;2;S;C;Harvest;2;S;S_S;S;C;Train;Ranged;Up;2;S;C;Attack;MostHealthy;S;S_S;S;C;MoveToUnit;Ally;Closest;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;Empty;S;C;MoveToUnit;Ally;Strongest;S;C;MoveToUnit;Ally;LessHealthy
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Idle;S;C;Train;Heavy;Right;2;S;C;Harvest;4;S;C;Train;Ranged;Up;2;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;LessHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;C;MoveToUnit;Ally;Closest
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Idle;S;C;Train;Light;Right;4;S;C;Harvest;3;S;C;Train;Ranged;Up;3;S;C;Attack;MostHealthy;S;C;MoveToUnit;Ally;Strongest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;MoveToUnit;Ally;Closest;S;C;MoveToUnit;Ally;Farthest
25200,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Harvest;25;S;C;Train;Light;Right;5;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Attack;Closest;S;C;Train;Heavy;Right;4;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Strongest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Base;0;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Enemy;Closest
28800,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Harvest;25;S;C;Train;Heavy;Right;5;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;C;Attack;Closest;S;C;Train;Light;Right;4;S;C;MoveToUnit;Enemy;Farthest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;MoveToUnit;Enemy;Closest;S;C;MoveToUnit;Enemy;Strongest
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Harvest;25;S;C;Train;Heavy;Right;5;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;C;Attack;Closest;S;C;Train;Light;Right;4;S;C;MoveToUnit;Enemy;Farthest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;MoveToUnit;Enemy;Closest;S;C;MoveToUnit;Enemy;Strongest
36000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;For_S;S;C;Train;Worker;Right;4;S;C;Build;Barracks;Left;6;S;C;Harvest;25;S;C;Train;Heavy;Right;5;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;C;Attack;Closest;S;C;Train;Light;Right;4;S;C;MoveToUnit;Enemy;Farthest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;MoveToUnit;Enemy;Closest;S;C;MoveToUnit;Enemy;Strongest
