1000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;C;Attack;Strongest;S;Empty;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Worker;Right;2;S;If_B_then_S;B;CanHarvest;S;C;Harvest;6
2000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
3000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
4000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
5000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
6000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
7000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
8000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
9000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
10000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
11000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;S_S;S;C;Train;Worker;Right;2;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;6;S;C;Harvest;5;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveAway;S;C;Train;Light;EnemyDir;100;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Weakest;S;C;Harvest;8
