1000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Base;0;S;C;Build;Worker;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Base;1;S;C;Build;Barracks;Right;1;S;If_B_then_S;B;HasNumberOfUnits;Barracks;1;S;C;Train;Worker;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Build;Barracks;Right;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;1;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;1;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;3;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;4;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;5;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;6;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;7;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;8;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;9;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;10;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;15;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;20;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;25;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;50;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;100;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Light;0;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;0;S;C;Train;Ranged;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;0;S;C;Train;Worker;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Base;0;S;C;Attack;Strongest;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;5;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;3;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;2;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;1;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;MoveAway
2000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Base;0;S;C;Build;Worker;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Base;1;S;C;Build;Barracks;Right;1;S;If_B_then_S;B;HasNumberOfUnits;Barracks;1;S;C;Train;Worker;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Build;Barracks;Right;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;1;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;1;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;2;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;3;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;4;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;5;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;6;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;7;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;8;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;9;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;10;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;15;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;20;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;25;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;50;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;100;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Train;Heavy;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Light;0;S;C;Train;Light;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;0;S;C;Train;Ranged;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;0;S;C;Train;Worker;Down;1;S;If_B_then_S;B;OpponentHasNumberOfUnits;Base;0;S;C;Attack;Strongest;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;5;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;3;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;2;S;C;MoveAway;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;1;S;C;Attack;;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;MoveAway
3000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
4000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
5000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
6000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
7000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
8000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
9000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
10000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Left;1;S;C;Train;Light;Left;50;S;S_S;S;S_S;S;C;Train;Worker;Down;1;S;C;Harvest;15;S;S_S;S;For_S;S;C;Idle;S;C;Attack;Strongest
