3600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;S_S;S;C;Build;Base;Right;2;S;C;Idle;S;C;Train;Worker;Down;5
7200,S;S_S;S;For_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;C;Train;Heavy;Up;50;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveAway;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;7;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;2;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
10800,S;S_S;S;For_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;C;Train;Heavy;Up;50;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveAway;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;7;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;2;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
14400,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;20;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;S_S;S;C;MoveAway;S;C;Train;Heavy;Up;50;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Harvest;4;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;Empty;S;C;MoveToUnit;Ally;Farthest;S;If_B_then_S_else_S;B;CanAttack;S;C;MoveToUnit;Ally;MostHealthy;S;Empty;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;Attack;Farthest
18000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;20;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;S_S;S;C;MoveAway;S;C;Train;Heavy;Up;50;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Harvest;4;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;Empty;S;C;MoveToUnit;Ally;Farthest;S;If_B_then_S_else_S;B;CanAttack;S;C;MoveToUnit;Ally;MostHealthy;S;Empty;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;Attack;Farthest
21600,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;20;S;S_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;S_S;S;C;MoveAway;S;C;Train;Heavy;Up;50;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Harvest;4;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;Empty;S;C;MoveToUnit;Ally;Farthest;S;If_B_then_S_else_S;B;CanAttack;S;C;MoveToUnit;Ally;MostHealthy;S;Empty;S;If_B_then_S;B;OpponentHasNumberOfUnits;Heavy;5;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;Attack;Farthest
25200,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;C;Train;Ranged;Up;25;S;C;MoveAway;S;S_S;S;S_S;S;For_S;S;C;Harvest;2;S;S_S;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Harvest;5;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
28800,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;C;Train;Ranged;Up;25;S;C;Attack;Strongest;S;S_S;S;S_S;S;For_S;S;C;Harvest;2;S;S_S;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Harvest;5;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
32400,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;C;Train;Ranged;Up;25;S;C;Attack;Strongest;S;S_S;S;S_S;S;For_S;S;C;Harvest;2;S;S_S;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Harvest;5;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
36000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;S_S;S;C;Train;Ranged;Up;25;S;C;Attack;Strongest;S;S_S;S;S_S;S;For_S;S;C;Harvest;2;S;S_S;S;For_S;S;C;Build;Barracks;Down;5;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Harvest;5;S;C;Train;Worker;Down;5;S;If_B_then_S;B;CanAttack;S;C;MoveToUnit;Ally;LessHealthy
