1000,S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;1;S;C;Train;Worker;Left;6;S;C;Attack;Weakest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
2000,S;S_S;S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;2;S;C;Train;Worker;Left;6;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
3000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
4000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
5000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
6000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
7000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
8000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
9000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
10000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
11000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
12000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;6;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
13000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
14000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
15000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
16000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
17000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
18000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
19000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
20000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
21000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
22000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
23000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
24000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
25000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Up;2;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;Empty;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
26000,S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Left;7;S;S_S;S;For_S;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;C;Attack;Strongest;S;C;Harvest;7;S;S_S;S;C;Train;Worker;Left;25;S;C;Attack;Closest;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
