1000,S;For_S;S;For_S;S;C;Attack;Strongest
2000,S;For_S;S;S_S;S;C;Attack;Closest;S;C;Train;Worker;Right;4
3000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
4000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
5000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
6000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
7000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
8000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
9000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
10000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
11000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
12000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
13000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
14000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
15000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
16000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
17000,S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;S_S;S;For_S;S;C;Train;Light;Left;5;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;4;S;For_S;S;C;Attack;Weakest;S;C;Attack;Closest
