1000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;S_S;S;C;Attack;Farthest;S;C;Train;Worker;Right;7
2000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;C;MoveToUnit;Enemy;Closest;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;S_S;S;C;Attack;Farthest;S;C;Train;Worker;Right;7
3000,S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Ranged;9;S;For_S;S;C;Harvest;1;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;Empty;S;C;Train;Worker;Down;25;S;For_S;S;C;Attack;Weakest
4000,S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Ranged;9;S;For_S;S;C;Harvest;1;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;Empty;S;C;Train;Worker;Down;25;S;For_S;S;C;Attack;Weakest
5000,S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Ranged;9;S;For_S;S;C;Harvest;1;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Down;25;S;For_S;S;C;Attack;Weakest
6000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Ranged;9;S;For_S;S;C;Harvest;1;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;15;S;C;Train;Worker;Down;25;S;For_S;S;C;Attack;Weakest
7000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;For_S;S;C;Harvest;1;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;15;S;C;Train;Worker;Down;25;S;For_S;S;C;Attack;Weakest;S;S_S;S;C;Train;Worker;EnemyDir;2;S;C;MoveToUnit;Ally;Weakest
8000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;For_S;S;C;Attack;Strongest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;25
9000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;5;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;25
10000,S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;5;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;25
