1000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Worker;Down;50;S;C;Idle;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Strongest;S;Empty;S;If_B_then_S_else_S;B;is_Type;Base;S;Empty;S;If_B_then_S;B;is_Type;Heavy;S;C;MoveToUnit;Ally;Closest;S;If_B_then_S_else_S;B;is_Type;Heavy;S;C;MoveToUnit;Ally;Closest;S;C;MoveToUnit;Ally;Closest
2000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Train;Worker;Left;100
3000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Train;Worker;Left;100
4000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
5000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
6000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
7000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
8000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
9000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
10000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
11000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
12000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
13000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
