1000,S;For_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Attack;LessHealthy
2000,S;For_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Attack;LessHealthy
3000,S;For_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;S_S;S;C;Idle;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest
4000,S;For_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;S_S;S;C;Idle;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest
5000,S;For_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;S_S;S;C;Idle;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest
6000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
7000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
8000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
9000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
10000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
11000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
12000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;C;Attack;MostHealthy;S;C;MoveToUnit;Enemy;Farthest;S;C;Idle;S;S_S;S;C;MoveAway;S;C;Attack;LessHealthy
